index,name,sector,biome,hazards,hash,position,waypoints,maxHealth,health,disabled,initialOwner,currentOwner,regenPerSecond,event,statistics,attacking
0,SUPER EARTH,Sol,"{'name': 'Unknown', 'description': ""This planet's biome is unknown at this time.""}","[{'name': 'None', 'description': ""This planet's environment is not yet known, or has no environmental modifiers.""}]",897386910,"{'x': 0, 'y': 0}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 70954, 'missionsLost': 4335, 'missionTime': 28955, 'terminidKills': 1421, 'automatonKills': 890, 'illuminateKills': 16, 'bulletsFired': 12737, 'bulletsHit': 14608, 'timePlayed': 28955, 'deaths': 112, 'revives': 0, 'friendlies': 10, 'missionSuccessRate': 94, 'accuracy': 100, 'playerCount': 382}",[]
1,KLEN DAHTH II,Altus,"{'name': 'Mesa', 'description': ""A blazing-hot desert planet, it's rocky mesas are the sole interruptions to the endless sea of dunes.""}","[{'name': 'Intense Heat', 'description': 'High temperatures increase stamina drain and speed up heat buildup in weapons.'}, {'name': 'Sandstorms', 'description': 'Dense sandstorms reduce mobility and greatly reduce visibility for both enemy and friendly units.'}]",3621417917,"{'x': 0.05373042, 'y': 0.10565466}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 1, 'missionTime': 402, 'terminidKills': 29, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 31, 'bulletsHit': 40, 'timePlayed': 402, 'deaths': 6, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 100, 'playerCount': 0}",[]
2,PATHFINDER V,Altus,"{'name': 'Highlands', 'description': 'Rocky outcroppings punctuate fields of tall grass in a planet dominated by misty highland terrain.'}","[{'name': 'Thick Fog', 'description': 'Dense fog lightly reduce visibility for both enemy and friendly units.'}, {'name': 'Rainstorms', 'description': 'Torrential rainstorms reduce visibility.'}]",2543303604,"{'x': 0.04664221, 'y': 0.16758725}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 1, 'missionsLost': 0, 'missionTime': 251, 'terminidKills': 5, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 20, 'bulletsHit': 0, 'timePlayed': 251, 'deaths': 1, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 100, 'accuracy': 0, 'playerCount': 0}",[]
3,WIDOW'S HARBOR,Altus,"{'name': 'Moon', 'description': 'A rocky, lonely moon with extremely valuable mineral deposits underneath the surface.'}","[{'name': 'Extreme Cold', 'description': 'Icy temperatures reduce rate of fire and delay heat buildup in weapons.'}, {'name': 'Meteor Storms', 'description': 'Meteors impact the surface causing massive damage.'}]",2768073863,"{'x': 0.12536779, 'y': 0.11821219}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
4,NEW HAVEN,Altus,"{'name': 'Rainforest', 'description': ""The strange subversion of photosynthesis that sustains the oddly-hued flora that flourishes on this planet remains an intriguing mystery to Super Earth's greatest exo-biologists.""}","[{'name': 'Ion Storms', 'description': 'Ion storms intermittently disable Stratagems.'}]",158585041,"{'x': 0.10280278, 'y': 0.05765711}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
5,PILEN V,Altus,"{'name': 'Desert', 'description': 'A desert planet prone to unpredictable and dangerous sand twisters.'}","[{'name': 'Intense Heat', 'description': 'High temperatures increase stamina drain and speed up heat buildup in weapons.'}, {'name': 'Tremors', 'description': 'Frequent earthquakes stun players and enemies alike.'}]",1008084099,"{'x': 0.15988354, 'y': 0.043583166}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
6,HYDROFALL PRIME,Barnard,"{'name': 'Canyon', 'description': 'This arid, rocky biome covering this world has driven the evolution of exceptionally efficient water usage in its various organisms.'}","[{'name': 'Tremors', 'description': 'Frequent earthquakes stun players and enemies alike.'}]",167872110,"{'x': 0.13535836, 'y': -0.03378948}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
7,ZEA RUGOSIA,Ferris,"{'name': 'Desert', 'description': 'A desert planet prone to unpredictable and dangerous sand twisters.'}","[{'name': 'Intense Heat', 'description': 'High temperatures increase stamina drain and speed up heat buildup in weapons.'}, {'name': 'Tremors', 'description': 'Frequent earthquakes stun players and enemies alike.'}]",1138804949,"{'x': 0.36159223, 'y': -0.52270126}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 72158, 'missionsLost': 9425, 'missionTime': 288298315, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 49924991, 'bulletsFired': 238407213, 'bulletsHit': 229833260, 'timePlayed': 288298315, 'deaths': 531940, 'revives': 0, 'friendlies': 96235, 'missionSuccessRate': 88, 'accuracy': 96, 'playerCount': 0}",[]
8,DARROWSPORT,Barnard,"{'name': 'Toxic', 'description': ""Dense, toxic fumes from deep within the planet's crust seep out of cracks in the earth and coat the ground in a sickly haze.""}","[{'name': 'Acid Storms', 'description': 'Corrosive acid storms temporarily reduce armor effectiveness for both enemy and friendly units.'}]",3550298780,"{'x': 0.09485684, 'y': -0.08101245}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
9,FORNSKOGUR II,Barnard,"{'name': 'Swamp', 'description': 'Tall, gnarled trees flourish across the surface of this forested world. Sunlight filters past dangling vines, to the saturated undergrowth below.'}","[{'name': 'Rainstorms', 'description': 'Torrential rainstorms reduce visibility.'}]",1025193891,"{'x': 0.15801243, 'y': -0.09685686}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
